Class,Alcohol,Malid acid,Ash,Alcalinity of ash,Magnesium, Total phenols
0,14.23,1.71,2.43,15.6,127,2.8
0,13.2,1.78,2.14,11.2,100,2.65
0,13.16,2.36,2.67,18.6,101,2.8
0,14.37,1.95,2.5,16.8,113,3.85
0,13.24,2.59,2.87,21,118,2.8
0,14.2,1.76,2.45,15.2,112,3.27
0,14.39,1.87,2.45,14.6,96,2.5
0,14.06,2.15,2.61,17.6,121,2.6
0,14.83,1.64,2.17,14,97,2.8
0,13.86,1.35,2.27,16,98,2.98
0,14.1,2.16,2.3,18,105,2.95
0,14.12,1.48,2.32,16.8,95,2.2
0,13.75,1.73,2.41,16,89,2.6
0,14.75,1.73,2.39,11.4,91,3.1
0,14.38,1.87,2.38,12,102,3.3
0,13.63,1.81,2.7,17.2,112,2.85
0,14.3,1.92,2.72,20,120,2.8
0,13.83,1.57,2.62,20,115,2.95
0,14.19,1.59,2.48,16.5,108,3.3
0,13.64,3.1,2.56,15.2,116,2.7
1,12.37,.94,1.36,10.6,88,1.98
1,12.33,1.1,2.28,16,101,2.05
1,12.64,1.36,2.02,16.8,100,2.02
1,13.67,1.25,1.92,18,94,2.1
1,12.37,1.13,2.16,19,87,3.5
1,12.17,1.45,2.53,19,104,1.89
1,12.37,1.21,2.56,18.1,98,2.42
1,13.11,1.01,1.7,15,78,2.98
1,12.37,1.17,1.92,19.6,78,2.11
1,13.34,.94,2.36,17,110,2.53
1,12.21,1.19,1.75,16.8,151,1.85
1,12.29,1.61,2.21,20.4,103,1.1
1,13.86,1.51,2.67,25,86,2.95
1,13.49,1.66,2.24,24,87,1.88
1,12.99,1.67,2.6,30,139,3.3
1,11.96,1.09,2.3,21,101,3.38
1,11.66,1.88,1.92,16,97,1.61
1,13.03,.9,1.71,16,86,1.95
1,11.84,2.89,2.23,18,112,1.72
1,12.33,.99,1.95,14.8,136,1.9
1,12.7,3.87,2.4,23,101,2.83
